Keyword,Frequency
detection system,18
history smoking,18
past history,18
surgery icu,18
pearson correlation analysis,18
our algorithms,17
computationally efficient,17
optimization problems,17
evolution reaction,17
surgery study,17
peripheral nervous system,17
microarray analysis,17
function time,17
fine structure,17
analysis total,17
hybrid system,17
proposed mechanism,17
like structure,17
based analysis,17
used statistical analysis,17
disease process,17
homeostasis model assessment insulin,17
homeostasis model assessment insulin resistance,17
univariate logistic regression analysis,17
model adjusted,17
current literature,17
past medical history,17
function decline,17
pathology report,17
parathyroid surgery,17
group function,17
surgery surgical services,17
model xcite,17
algorithm can be,16
algorithm with,16
probability distribution,16
control algorithm,16
phylogenetic analysis,16
bariatric surgery,16
level theory,16
correlation function,16
distribution function,16
available literature,16
medical ethics,16
systolic function,16
liver function tests,16
immunoblot analysis,16
mitochondrial function,16
hoc analysis 05,16
analysis 05 significantly,16
post hoc analysis 05,16
hoc analysis 05 significantly,16
analysis 05 significantly different,16
bonferroni post hoc analysis 05,16
post hoc analysis 05 significantly,16
hoc analysis 05 significantly different,16
ventricular function,16
education level,16
open surgery,16
way analysis variance anova,16
participants history diabetes,16
analysis system,16
emergency surgery,16
reverse method,16
structure pitch,16
quantum,15
regression and,15
computational complexity,15
clustering algorithms,15
dimensionality reduction,15
new algorithm,15
higher education,15
analysis suggests,15
analysis identified,15
effects model,15
vitro model,15
possible mechanism,15
review meta analysis,15
analysis demonstrated,15
analysis age,15
literature search,15
molecular biology,15
using kaplan meier method,15
minimal model,15
method found,15
primary surgery,15
present analysis,15
years surgery,15
analysis table,15
phacoemulsification surgery,15
predictive model,15
previous ocular surgery,15
survival probability,15
entropy scoring function,15
computer vision,14
these algorithms,14
clustering algorithm,14
analysis methods,14
logistic model,14
oxygen evolution,14
systematic review meta analysis,14
method developed,14
time evolution,14
network model,14
gc ms analysis,14
system applied,14
analysis shows,14
diastolic function,14
used model,14
thyroid function,14
included model,14
history physical,14
analysis found,14
left ventricular function,14
method compared,14
immunohistochemical analysis,14
since surgery,14
time surgery,14
process variables,14
proposed model,14
content analysis,14
institutional ethics,14
cognitive function decline,14
statistical analysis done,14
making process,14
following surgery,14
roc curve analysis,14
abdominal surgery,14
measures analysis,14
cardiac surgery icu,14
repeated measures analysis,14
measures analysis variance,14
repeated measures analysis variance,14
pollution control,14
air pollution control,14
algorithms is,13
algorithms can be,13
machine learning and,13
classification accuracy,13
linear regression,13
artificial intelligence,13
algorithms based,13
machine learning algorithms,13
muscle function,13
method employed,13
electronic structure,13
method showed,13
structure activity,13
complex process,13
gain function,13
function mutations,13
sequencing analysis,13
system based,13
hazards model,13
proportional hazards model,13
developed method,13
image analysis,13
function also,13
used method,13
roc analysis,13
regression analysis showed,13
based system,13
system may,13
used data analysis,13
function test,13
analysis adjusted,13
resective epilepsy surgery,13
cardiac function,13
plastic surgery,13
multivariate model,13
history clinical,13
analysis done using,13
method also,13
conventional method,13
stratified analysis,13
analysis set,13
cluster analysis,13
surgery however,13
northern blot analysis,13
function may,13
diffusion method,13
native structure,13
pollution control plans,13
air pollution control plans,13
function size,13
kinetic theory,13
matter model,13
sales statistics,13
department surgery surgical,13
department surgery surgical services,13
unsupervised learning,12
binary classification,12
algorithm on,12
computer science,12
algorithms have,12
signal processing,12
operating system,12
analysis however,12
model however,12
system also,12
theory dft,12
functional theory dft,12
density functional theory dft,12
nutrition education,12
elisa method,12
systematic literature,12
process also,12
system using,12
density function,12
analysis reveals,12
process one,12
model predicts,12
cox proportional hazards model,12
method allows,12
cell biology,12
control system,12
system shown,12
qpcr analysis,12
method could,12
chemical structure,12
system one,12
surgery may,12
history physical examination,12
using technique,12
hplc system,12
analysis statistical,12
debulking surgery,12
mechanism involved,12
experimental model,12
day surgery,12
surgery followed,12
brain function,12
statistical analysis done using,12
geometric model,12
analysis software,12
decision making process,12
gas analysis,12
blood gas analysis,12
underwent surgery,12
rd surgery,12
oct system,12
statistics used,12
body system,12
perturbation theory,12
energy scoring function,12
images structure,12
images structure pitch,12
four weeks surgery,12
maxwell system,12
solutions einstein vlasov system,12
mass function,12
algorithms the,11
algorithms which,11
information theory,11
two algorithms,11
feature selection method,11
evolutionary history,11
quantum theory,11
classification model,11
component analysis,11
scientific literature,11
hydrogen evolution,11
expression analysis,11
proteomic analysis,11
fermentation process,11
model shown,11
murine model,11
literature reported,11
flow system,11
oncology group,11
medical ethics committee,11
ad pathology,11
model model,11
hplc method,11
secondary analysis,11
page analysis,11
sds page analysis,11
motor function,11
formal education,11
ms ms analysis,11
analysis comparing,11
system could,11
normal renal function,11
selection method,11
protocol approved ethics,11
protocol approved ethics committee,11
history patient,11
education 001,11
found literature,11
burn plastic surgery,11
system case,11
care process,11
year history,11
refractive surgery,11
function measured,11
levels cognitive function,11
included multivariate analysis,11
dimensional model,11
spss statistics,11
patients surgery,11
system involvement,11
pathway analysis,11
general psychopathology,11
tof analysis,11
maldi tof analysis,11
capture system,11
exchange system,11
multivariable model,11
vlasov maxwell system,11
meier analysis,11
ising model,11
parametric model,11
crosspin system,11
luminosity function,11
probability of,10
information retrieval,10
algorithms on,10
classification problems,10
clustering in,10
algorithms based on,10
reinforcement learning in,10
classification in,10
algorithm called,10
based algorithm,10
convergent evolution,10
studies literature,10
mechanism may,10
based model,10
based method,10
monitoring system,10
system size,10
loss function mutations,10
using model,10
organ function,10
biodiversity,10
biological process,10
simple model,10
analysis including,10
method proposed,10
multivariate regression analysis,10
model results,10
function based,10
function well,10
system applied biosystems,10
reported history,10
history prior,10
function compared,10
treatment method,10
heart surgery,10
philosophy,10
using analysis,10
linear model,10
treatment process,10
analysis figure,10
method pcr,10
method differences,10
selection process,10
surgery compared,10
social function,10
education midwifery,10
education midwifery group,10
function could,10
depth analysis,10
analysis factors,10
new technique,10
model highly,10
variable model,10
statistical model,10
important mechanism,10
process involving,10
analysis shown,10
model one,10
glucose levels cognitive function,10
fasting glucose levels cognitive function,10
element model,10
model patients,10
natural history,10
management system,10
threshold algorithm,10
interactive threshold algorithm,10
swedish interactive threshold algorithm,10
history diabetes mellitus,10
education income,10
institutional ethics committee,10
genetic analysis,10
tooth structure,10
prior history,10
probability less,10
sparing surgery,10
system including,10
motion capture system,10
bateson model,10
barrier function,10
cardiac structure,10
ligand exchange system,10
surgery anesthesia,10
energy entropy scoring function,10
model included,10
system components,10
probability mortality,10
model independent,10
history af,10
ph model,10
cox ph model,10
energy function,10
hazards analysis,10
proportional hazards analysis,10
cox proportional hazards analysis,10
review adaptation process,10
acl crosspin system,10
pinn acl crosspin system,10
shell model,10
structure functions,10
statistical learning theory,9
classification this,9
existing algorithms,9
reinforcement learning and,9
computational cost,9
text classification,9
class classification,9
is computationally,9
regression problems,9
optimization algorithms,9
optimization algorithm,9
classification method,9
machine learning approach,9
optimization method,9
nuclear physics,9
model analysis,9
analysis mean,9
novel method,9
method uses,9
model performance,9
model may,9
oxygen evolution reaction,9
transformation process,9
effectiveness analysis,9
ethics committees,9
analysis used assess,9
scoring system,9
cancer immunotherapy,9
model parameters,9
analysis population,9
protein structure,9
dimensional system,9
analysis overall,9
logistic regression analysis performed,9
transfer process,9
mice model,9
process known,9
dcnn model,9
system model,9
noise pollution,9
acute physiology,9
level analysis,9
process model,9
education organization,9
education justification,9
thyroid function tests,9
age education,9
global cognitive function,9
semen analysis,9
analysis method,9
logistic regression analysis showed,9
local ethics,9
elisa analysis,9
lc ms ms analysis,9
one method,9
subsequent analysis,9
logistic regression analysis used,9
final analysis,9
process repeated,9
literature regarding,9
structure figure,9
surgical pathology,9
time analysis,9
study protocol approved ethics,9
study protocol approved ethics committee,9
genetic model,9
analysis clinical,9
sex education,9
survival multivariate analysis,9
analysis dna,9
histopathology showed,9
learning process,9
case history,9
english literature,9
analysis interpretation,9
surgery postoperative,9
analysis conducted using,9
diabetes education,9
statistics calculated,9
model determine,9
revision surgery,9
system system,9
robust process,9
robust process improvement,9
treated surgery,9
reviewed literature,9
results literature,9
surgery well,9
system study,9
regression analysis revealed,9
model best,9
system therefore,9
finite element model,9
primary analysis,9
process may,9
surgery also,9
duration surgery,9
analysis tools,9
history previous stroke,9
income education,9
disk diffusion method,9
malcev algebra,9
autonomic nervous system,9
mechanism injury,9
capture analysis,9
motion capture analysis,9
use technique,9
angiotensin system,9
renin angiotensin system,9
causal model,9
model highly significant,9
complex structure,9
pollution tehran,9
air pollution tehran,9
multiple logistic regression analysis,9
kaplan meier analysis,9
greater probability,9
systematic literature review,9
lognormal model,9
stellar evolution,9
clustering problem,8
supervised classification,8
algorithm are,8
classification the,8
optimization in,8
pattern recognition,8
classification we,8
classification is,8
classification performance,8
optimization for,8
reinforcement learning algorithms,8
algorithm as,8
algorithm which is,8
descent algorithm,8
online learning algorithm,8
algorithm uses,8
search algorithm,8
online algorithm,8
error probability,8
natural language processing,8
analysis applied,8
national statistics,8
functional analysis,8
environmental pollution,8
data model,8
culture system,8
process used,8
sustainability,8
principal component analysis,8
understanding mechanism,8
reports literature,8
school education,8
regression analysis used assess,8
ethics approval,8
innate immune system,8
system consists,8
sequence analysis,8
descriptive analysis,8
model human,8
function via,8
mixed model,8
band structure,8
transcriptome analysis,8
analysis suggested,8
unique structure,8
genetic structure,8
novel mechanism,8
theory dft calculations,8
functional theory dft calculations,8
density functional theory dft calculations,8
cellular process,8
model two,8
model explained,8
vascular system,8
physiology chronic,8
acute physiology chronic,8
physiology chronic health,8
acute physiology chronic health,8
physiology chronic health evaluation,8
acute physiology chronic health evaluation,8
system composed,8
quantitative method,8
entire system,8
advocacy process,8
health statistics,8
model organisms,8
ad model,8
hplc analysis,8
medical literature,8
technique using,8
years education,8
function 16,8
subjects history,8
mutation analysis,8
analysis 05 significantly different low,8
model study,8
analysis performed using spss,8
statistical analysis performed using spss,8
surgery radiotherapy,8
canal system,8
rotary system,8
objective function,8
blood biochemistry,8
overall survival multivariate analysis,8
activation function,8
surgery table,8
freedom since surgery,8
seizure freedom since surgery,8
pretest probability,8
reliable method,8
function patients,8
patient flow system,8
surgery including,8
analysis among,8
model given,8
coculture model,8
analysis confirmed,8
solvent system,8
multiple linear regression analysis,8
multiple regression analysis used,8
pathology department,8
second surgery,8
included meta analysis,8
invasive surgery,8
change cognitive function,8
ethics committee hospital,8
patch system,8
system would,8
quick patch system,8
block structure,8
full analysis,8
full analysis set,8
based literature,8
survival function,8
exact mechanism,8
study approved ethics,8
study approved ethics committee,8
endoscopic surgery,8
surgery group,8
ibm spss statistics,8
sociology,8
nervous system involvement,8
analysis find,8
month history,8
staging system,8
hh model,8
analysis multivariate,8
cases reported literature,8
analysis presented,8
history substance,8
insurance system,8
surgery reported,8
analysis one,8
variables analysis,8
interaction model,8
model containing,8
model high,8
locomotor system,8
biomechanical mechanism,8
muller model,8
dobzhansky muller model,8
digital pathology,8
method 2d,8
3d method 2d,8
model significant,8
mh surgery,8
significant model,8
regression analysis adjusted,8
logistic regression analysis adjusted,8
surgery adjuvant,8
model assumes,8
following cataract surgery,8
systems biology,8
entered model,8
model underpinning,8
causal model underpinning,8
model underpinning opqol,8
causal model underpinning opqol,8
taa model,8
approved institutional ethics,8
linkage analysis,8
registration system,8
education program,8
cardiac structure function,8
process patients,8
system potential,8
tehran air pollution,8
history depression,8
combined energy entropy scoring function,8
northern analysis,8
model line,8
effect variable model,8
variable model line,8
model line shows,8
estimate effect variable model,8
effect variable model line,8
variable model line shows,8
model line shows 95,8
point estimate effect variable model,8
estimate effect variable model line,8
effect variable model line shows,8
variable model line shows 95,8
model line shows 95 confidence,8
groove four weeks surgery,8
trochlear groove four weeks surgery,8
geometry optimizations,8
erectile function,8
analysis independent,8
depressed left ventricular function,8
theory diffusion,8
diffusion process,8
suprapapillary method used,8
nursing process,8
formation history,8
star formation history,8
model find,8
nucleon structure,8
